K00002	alcohol dehydrogenase (NADP+)
K14560	U3 small nucleolar ribonucleoprotein protein IMP3
K14561	U3 small nucleolar ribonucleoprotein protein IMP4
K14563	rRNA 2'-O-methyltransferase fibrillarin
K14564	nucleolar protein 56
K14565	nucleolar protein 58
K14566	U3 small nucleolar RNA-associated protein 24
K14567	U3 small nucleolar RNA-associated protein 14
K14568	rRNA small subunit pseudouridine methyltransferase Nep1
K14569	ribosome biogenesis protein BMS1
K14570	RNA exonuclease
K14571	ribosome biogenesis ATPase
K14572	midasin
K14573	nucleolar protein 4
K14574	ribosome maturation protein SDO1
K14589	cap1 methyltransferase
K14590	cap2 methyltransferase
K14607	extracellular sulfatase Sulf
K14610	SLC19A2_solute carrier family 19 (thiamine transporter), member 2/3
K14613	MFS transporter, PCFT/HCP family, solute carrier family 46 (folate transporter), member 1
K14616	cubilin
K14618	cyanocobalamin reductase (cyanide-eliminating) / alkylcobalamin dealkylase
K14620	riboflavin transporter 2
K14621	phospholipase B1, membrane-associated
K14636	MFS transporter, DHA1 family, solute carrier family 18 (vesicular acetylcholine transporter), member 3
K14640	solute carrier family 20 (sodium-dependent phosphate transporter)
K14643	ectonucleoside triphosphate diphosphohydrolase 7
K14648	poly(U)-specific endoribonuclease
K14649	transcription initiation factor TFIID subunit 8
K14650	transcription initiation factor TFIID subunit 3
K14651	transcription initiation factor TFIID subunit 15
K14676	lysophospholipid hydrolase
K14677	aminoacylase
K14683	solute carrier family 34 (sodium-dependent phosphate cotransporter)
K14684	solute carrier family 25 (mitochondrial adenine nucleotide transporter), member 23/24/25/41
K14685	solute carrier family 40 (iron-regulated transporter), member 1
K14686	solute carrier family 31 (copper transporter), member 1
K14688	solute carrier family 30 (zinc transporter), member 1
K14689	solute carrier family 30 (zinc transporter), member 2
K14692	SLC30A5_solute carrier family 30 (zinc transporter), member 5/7
K14693	solute carrier family 30 (zinc transporter), member 6
K14696	solute carrier family 30 (zinc transporter), member 9
K14709	SLC39A1_2_solute carrier family 39 (zinc transporter), member 1/2/3
K14713	solute carrier family 39 (zinc transporter), member 7
K14714	solute carrier family 39 (zinc transporter), member 8
K14715	solute carrier family 39 (zinc transporter), member 9
K14717	solute carrier family 39 (zinc transporter), member 11
K14719	solute carrier family 39 (zinc transporter), member 13
K14720	solute carrier family 39 (zinc transporter), member 14
K14721	DNA-directed RNA polymerase III subunit RPC5
K14723	solute carrier family 9 (sodium/hydrogen exchanger), member 5
K14724	solute carrier family 9 (sodium/hydrogen exchanger), member 8
K14726	SLC9A10_solute carrier family 9 (sodium/hydrogen exchanger), member 10/11
K14739	MT1_metallothionein 1/2
K14753	guanine nucleotide-binding protein subunit beta-2-like 1 protein
K14758	casein kinase I homolog HRR25
K14763	H/ACA ribonucleoprotein complex non-core subunit NAF1
K14764	protein SHQ1
K14765	U3 small nucleolar ribonucleoprotein protein LCP5
K14766	nucleolar protein 14
K14767	U3 small nucleolar RNA-associated protein 3
K14768	U3 small nucleolar RNA-associated protein 7
K14769	U3 small nucleolar RNA-associated protein 11
K14771	U3 small nucleolar RNA-associated protein 19
K14772	U3 small nucleolar RNA-associated protein 20
K14773	U3 small nucleolar RNA-associated protein 23
K14774	U3 small nucleolar RNA-associated protein 25
K14775	ribosome biogenesis protein UTP30
K14776	ATP-dependent RNA helicase DDX10/DBP4
K14777	ATP-dependent RNA helicase DDX47/RRP3
K14778	ATP-dependent RNA helicase DDX49/DBP8
K14779	ATP-dependent RNA helicase DDX52/ROK1
K14780	ATP-dependent RNA helicase DHX37/DHR1
K14782	protein AATF/BFR2
K14785	ESF2/ABP1 family protein
K14786	protein KRI1
K14787	multiple RNA-binding domain-containing protein 1
K14788	ribosome biogenesis protein ENP2
K14790	nucleolar protein 9
K14791	periodic tryptophan protein 1
K14792	rRNA biogenesis protein RRP5
K14793	ribosomal RNA-processing protein 9
K14794	ribosomal RNA-processing protein 12
K14795	ribosomal RNA-processing protein 36
K14797	essential nuclear protein 1
K14798	protein LTV1
K14799	pre-rRNA-processing protein TSR1
K14800	pre-rRNA-processing protein TSR2
K14801	pre-rRNA-processing protein TSR4
K14802	phospholipid-transporting ATPase
K14803	PTC2_protein phosphatase PTC2/3
K14805	ATP-dependent RNA helicase DDX24/MAK5
K14807	ATP-dependent RNA helicase DDX51/DBP6
K14808	ATP-dependent RNA helicase DDX54/DBP10
K14809	ATP-dependent RNA helicase DDX55/SPB4
K14810	ATP-dependent RNA helicase DDX56/DBP9
K14815	mRNA turnover protein 4
K14816	pre-60S factor REI1
K14819	dual specificity phosphatase 12
K14820	ribosome biogenesis protein BRX1
K14821	bud site selection protein 20
K14822	rRNA-processing protein CGR1
K14823	rRNA-processing protein EBP2
K14824	ribosome biogenesis protein ERB1
K14825	p24 family protein gamma-2
K14827	pre-rRNA-processing protein IPI1
K14829	pre-rRNA-processing protein IPI3
K14831	protein MAK16
K14832	ribosome biogenesis protein MAK21
K14833	nucleolar complex protein 2
K14834	nucleolar complex protein 3
K14835	25S rRNA (cytosine2870-C5)-methyltransferase
K14837	nucleolar protein 12
K14838	nucleolar protein 15
K14840	nucleolar protein 53
K14841	ribosome biogenesis protein NSA1
K14842	ribosome biogenesis protein NSA2
K14843	pescadillo
K14844	pumilio homology domain family member 6
K14845	RAT1-interacting protein
K14846	ribosome production factor 1
K14847	ribosome production factor 2
K14848	ribosome assembly protein RRB1
K14849	ribosomal RNA-processing protein 1
K14850	ribosomal RNA-processing protein 8
K14852	regulator of ribosome biosynthesis
K14855	ribosome assembly protein 4
K14856	protein SDA1
K14857	AdoMet-dependent rRNA methyltransferase SPB1
K14859	SSF1_ribosome biogenesis protein SSF1/2
K14861	nucleolar pre-ribosomal-associated protein 1
K14863	ribosome biogenesis protein
K14864	tRNA (cytidine32/guanosine34-2'-O)-methyltransferase
K14865	small nucleolar RNA SNORD14
K14866	small nucleolar RNA SNORD18
K14867	small nucleolar RNA SNORD24
K14895	small nucleolar RNA SNORD29
K14909	small nucleolar RNA SNORA21
K14920	small nucleolar RNA SNORD47
K14927	small nucleolar RNA SNORA16
K14936	small nucleolar RNA SNORA78
K14938	cholesterol 7-desaturase
K14942	KH domain-containing, RNA-binding, signal transduction-associated protein 3
K14943	muscleblind
K14944	RNA-binding protein Nova
K14945	protein quaking
K14946	RNA binding protein fox-1
K14947	ESRP1_epithelial splicing regulatory protein 1/2
K14950	manganese-transporting P-type ATPase
K14960	COMPASS component SPP1
K14961	COMPASS component SWD1
K14962	COMPASS component SWD2
K14963	COMPASS component SWD3
K14964	Set1/Ash2 histone methyltransferase complex subunit ASH2
K14965	protein dpy-30
K14966	host cell factor 1
K14972	PAX-interacting protein 1
K14995	solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 9
K14996	solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 10
K14998	surfeit locus 1 family protein
K15014	SLC29A1_2_solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3
K15015	solute carrier family 32 (vesicular inhibitory amino acid transporter)
K15025	probable RNA-binding protein EIF1AD
K15026	translation initiation factor 2A
K15027	translation initiation factor 2D
K15028	translation initiation factor 3 subunit K
K15029	translation initiation factor 3 subunit L
K15030	translation initiation factor 3 subunit M
K15031	mitochondrial transcription termination factor family protein
K15033	peptidyl-tRNA hydrolase ICT1
K15040	voltage-dependent anion channel protein 2
K15042	KPNA5_importin subunit alpha-6/7
K15043	KPNA2_importin subunit alpha-1/8
K15044	Arf-GAP domain and FG repeats-containing protein 1
K15046	influenza virus NS1A-binding protein
K15048	kalirin
K15053	charged multivesicular body protein 7
K15074	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein
K15075	DNA repair/transcription protein MET18/MMS19
K15076	elongin-A
K15078	structure-specific endonuclease subunit SLX1
K15085	solute carrier family 25, member 42
K15100	solute carrier family 25 (mitochondrial citrate transporter), member 1
K15101	SLC25A2_solute carrier family 25 (mitochondrial ornithine transporter) member 2/15
K15102	solute carrier family 25 (mitochondrial phosphate transporter), member 3
K15104	solute carrier family 25 (mitochondrial oxoglutarate transporter), member 11
K15105	SLC25A12_solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13
K15107	SLC25A18_solute carrier family 25 (mitochondrial glutamate transporter), member 18/22
K15108	solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19
K15109	solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20
K15110	solute carrier family 25 (mitochondrial 2-oxodicarboxylate transporter), member 21
K15111	solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26
K15112	solute carrier family 25 (mitochondrial uncoupling protein), member 27
K15113	SLC25A28_solute carrier family 25 (mitochondrial iron transporter), member 28/37
K15115	solute carrier family 25 (mitochondrial folate transporter), member 32
K15116	SLC25A33_solute carrier family 25, member 33/36
K15118	solute carrier family 25, member 38
K15119	SLC25A39_solute carrier family 25, member 39/40
K15121	solute carrier family 25, member 44
K15122	solute carrier family 41
K15127	transcriptional adapter 2-beta
K15128	mediator of RNA polymerase II transcription subunit 6
K15129	mediator of RNA polymerase II transcription subunit 8
K15131	mediator of RNA polymerase II transcription subunit 11
K15133	mediator of RNA polymerase II transcription subunit 17
K15135	mediator of RNA polymerase II transcription subunit 18
K15137	mediator of RNA polymerase II transcription subunit 19
K15139	mediator of RNA polymerase II transcription subunit 22
K15141	mediator of RNA polymerase II transcription subunit 28
K15144	mediator of RNA polymerase II transcription subunit 1
K15146	mediator of RNA polymerase II transcription subunit 4
K15148	mediator of RNA polymerase II transcription subunit 7
K15151	mediator of RNA polymerase II transcription subunit 10
K15152	mediator of RNA polymerase II transcription subunit 21
K15153	mediator of RNA polymerase II transcription subunit 31
K15156	mediator of RNA polymerase II transcription subunit 14
K15157	mediator of RNA polymerase II transcription subunit 15
K15161	cyclin-C
K15162	mediator of RNA polymerase II transcription subunit 12
K15164	mediator of RNA polymerase II transcription subunit 13
K15166	mediator of RNA polymerase II transcription subunit 23
K15167	mediator of RNA polymerase II transcription subunit 24
K15170	mediator of RNA polymerase II transcription subunit 27
K15171	transcription elongation factor SPT4
K15172	transcription elongation factor SPT5
K15173	transcription termination factor 2
K15174	RNA polymerase II-associated factor 1
K15175	parafibromin
K15176	RNA polymerase-associated protein CTR9
K15177	RNA polymerase-associated protein LEO1
K15178	RNA polymerase-associated protein RTF1
K15179	negative elongation factor A
K15180	negative elongation factor B
K15181	negative elongation factor C/D
K15183	RNA polymerase II elongation factor ELL
K15185	AF4/FMR2 family member 4
K15186	ELL-associated factor
K15187	MLLT1_YEATS domain-containing protein 1/3
K15188	cyclin T
K15189	HEXIM1_protein HEXIM1/2
K15190	7SK snRNA methylphosphate capping enzyme
K15192	TATA-binding protein-associated factor
K15193	protein SPT2
K15196	transcription factor IIIB 90 kDa subunit
K15198	transcription factor TFIIIB component B''
K15199	general transcription factor 3C polypeptide 1
K15200	general transcription factor 3C polypeptide 2
K15201	general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)
K15202	general transcription factor 3C polypeptide 5 (transcription factor C subunit 1)
K15208	snRNA-activating protein complex subunit 1
K15210	snRNA-activating protein complex subunit 3
K15216	RNA polymerase I-specific transcription initiation factor RRN3
K15223	upstream activation factor subunit UAF30
K15235	josephin
K15255	ATP-dependent DNA helicase PIF1
K15262	protein BCP1
K15263	cell growth-regulating nucleolar protein
K15264	25S rRNA (cytosine2278-C5)-methyltransferase
K15266	dimethyladenosine transferase 1, mitochondrial
K15272	SLC35A1_2_solute carrier family 35 (UDP-sugar transporter), member A1/2/3
K15275	solute carrier family 35 (UDP-galactose transporter), member B1
K15276	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2
K15277	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3
K15278	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4
K15279	solute carrier family 35 (GDP-fucose transporter), member C1
K15280	solute carrier family 35, member C2
K15281	SLC35D1_2_solute carrier family 35, member D1/2/3
K15283	solute carrier family 35, member E1
K15287	SLC35F1_solute carrier family 35, member F1/2
K15288	SLC35F3_solute carrier family 35, member F3/4
K15289	solute carrier family 35, member F5
K15290	synaptotagmin-1
K15292	syntaxin-binding protein 1
K15293	UNC13A_B_protein unc-13 A/B/C
K15294	CPLX1_complexin-1/2
K15296	alpha-soluble NSF attachment protein
K15297	regulating synaptic membrane exocytosis protein 2
K15308	tristetraprolin
K15322	tRNA-splicing endonuclease subunit Sen2
K15323	tRNA-splicing endonuclease subunit Sen34
K15326	tRNA-splicing endonuclease subunit Sen54
K15332	tRNA (uracil-5-)-methyltransferase
K15333	tRNA guanosine-2'-O-methyltransferase
K15335	tRNA (cytosine34-C5)-methyltransferase
K15336	tRNA (cytosine38-C5)-methyltransferase
K15338	holliday junction resolvase GEN1/YEN1
K15340	DNA cross-link repair 1A protein
K15341	DNA cross-link repair 1B protein
K15348	pleckstrin homology domain-containing family M member 2
K15357	N-formylmaleamate deformylase
K15360	centromere protein X
K15361	WD repeat-containing protein 48
K15362	fanconi anemia group J protein
K15363	fanconi-associated nuclease 1
K15369	trafficking kinesin-binding protein 1
K15375	inactive phospholipase C-like protein 1
K15376	gephyrin
K15377	SLC44A2_4_solute carrier family 44 (choline transporter-like protein), member 2/4/5
K15380	solute carrier family 48 (heme transporter), member 1
K15382	solute carrier family 50 (sugar transporter)
K15407	queuine tRNA-ribosyltransferase accessory subunit
K15409	serine/threonine-protein kinase SRPK1
K15410	elongation factor 1-delta
K15414	complement component 1 Q subcomponent-binding protein, mitochondrial
K15423	serine/threonine-protein phosphatase 4 catalytic subunit
K15424	serine/threonine-protein phosphatase 4 regulatory subunit 1
K15425	serine/threonine-protein phosphatase 4 regulatory subunit 2
K15426	serine/threonine-protein phosphatase 4 regulatory subunit 4
K15429	tRNA (guanine37-N1)-methyltransferase
K15430	tRNA (guanine10-N2)-methyltransferase
K15433	RLL motif containing protein 1
K15436	transportin-3
K15437	aminoacyl tRNA synthase complex-interacting multifunctional protein 1
K15440	tRNA-specific adenosine deaminase 1
K15441	tRNA-specific adenosine deaminase 2
K15442	tRNA-specific adenosine deaminase 3
K15443	tRNA (guanine-N(7)-)-methyltransferase subunit TRM82
K15444	tRNA (uracil-5-)-methyltransferase TRM9
K15445	tRNA (guanine9-N1)-methyltransferase
K15446	tRNA:m4X modification enzyme
K15447	tRNASer (uridine44-2'-O)-methyltransferase
K15448	multifunctional methyltransferase subunit TRM112
K15449	tRNA wybutosine-synthesizing protein 1
K15451	tRNA wybutosine-synthesizing protein 4
K15455	diphthamide biosynthesis protein 3
K15456	protein KTI12
K15464	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
K15498	serine/threonine-protein phosphatase 6 catalytic subunit
K15500	serine/threonine-protein phosphatase 6 regulatory subunit 2
K15501	serine/threonine-protein phosphatase 6 regulatory subunit 3
K15502	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A
K15507	21S rRNA (GM2251-2'-O)-methyltransferase
K15516	fragile X mental retardation protein
K15523	protein-ribulosamine 3-kinase
K15528	fatty acid amide hydrolase
K15537	alkylglycerol monooxygenase
K15538	glycoprotein endo-alpha-1,2-mannosidase
K15542	polyadenylation factor subunit 2
K15544	RNA polymerase II subunit A C-terminal domain phosphatase SSU72
K15559	regulator of Ty1 transposition protein 103
K15591	transcription factor EC
K15595	cyclin-dependent kinase 17
K15601	dimethyl-L-lysine9 demethylase
K15603	TCF4_transcription factor 4/12
K15607	T-cell leukemia homeobox protein 3
K15608	paired box protein 2
K15614	homeobox protein SIX1
K15615	homeobox protein SIX4
K15616	eyes absent homolog 1
